id,problem,solution
102,"[[null,null,1,null,null,3,null,null,null],[null,null,null,null,null,null,null,4,8],[7,null,2,null,null,null,null,null,null],[null,null,null,null,1,7,3,null,null],[null,6,null,null,null,null,null,5,null],[null,null,null,null,null,null,null,null,null],[null,null,null,null,null,4,null,8,7],[5,null,3,8,null,null,6,1,null],[null,9,null,null,5,null,null,null,null]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[2,1,6,3,9,4,5,8,7],[5,4,3,8,7,2,6,1,9],[8,9,7,6,5,1,4,2,3]]"
103,"[[null,8,null,9,null,3,2,null,null],[6,null,9,null,null,null,null,null,8],[null,null,null,null,null,null,null,null,null],[9,2,null,5,null,null,null,null,null],[null,null,4,null,8,null,7,null,null],[null,null,5,null,3,6,null,null,2],[null,null,null,null,null,null,null,8,null],[8,null,null,null,5,null,null,null,3],[null,4,null,null,null,2,null,1,9]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[2,1,6,3,9,4,5,8,7],[8,9,7,6,5,1,4,2,3],[5,4,3,8,7,2,6,1,9]]"
104,"[[4,8,null,null,null,null,null,null,null],[null,null,9,7,null,null,1,null,null],[null,null,null,1,null,null,null,3,6],[null,null,null,null,null,null,null,null,null],[null,6,null,null,8,null,7,null,null],[1,null,5,null,null,6,8,9,null],[null,1,null,3,9,null,5,null,null],[8,null,null,null,null,2,null,null,3],[null,null,null,null,7,null,null,null,null]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[2,1,6,3,9,4,5,8,7],[8,9,7,6,5,2,4,1,3],[5,4,3,8,7,1,6,2,9]]"
105,"[[4,8,null,9,6,null,2,null,null],[null,null,null,null,null,null,null,4,null],[null,null,null,null,null,8,null,null,6],[null,null,8,5,1,null,null,null,null],[3,null,null,2,null,null,null,5,null],[null,null,null,4,null,null,null,9,null],[2,null,3,null,null,null,null,null,null],[null,9,null,3,null,2,null,null,null],[5,1,null,null,null,null,6,null,null]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[2,4,3,6,7,1,5,8,9],[8,9,6,3,5,2,4,1,7],[5,1,7,8,9,4,6,2,3]]"
106,"[[null,null,null,null,6,null,null,7,5],[null,3,null,null,2,null,1,null,null],[7,null,2,null,null,null,null,null,null],[null,null,8,5,null,7,null,6,4],[null,null,null,null,8,9,null,5,1],[null,null,null,null,null,null,null,9,null],[2,null,3,6,7,1,null,null,null],[5,null,null,null,9,null,null,null,null],[null,null,null,null,null,null,null,1,null]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[2,4,3,6,7,1,5,8,9],[5,1,7,8,9,4,6,2,3],[8,9,6,3,5,2,4,1,7]]"
107,"[[4,8,null,9,null,null,null,null,null],[6,3,9,null,null,null,null,null,null],[7,null,2,null,null,null,null,null,6],[null,null,null,5,1,7,null,null,null],[null,null,null,null,null,null,null,null,null],[null,null,null,null,null,6,8,9,2],[2,null,null,null,null,1,null,null,7],[null,null,null,3,null,null,null,null,9],[null,null,null,8,null,2,4,null,null]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[2,4,3,6,9,1,5,8,7],[8,1,7,3,5,4,6,2,9],[5,9,6,8,7,2,4,1,3]]"
108,"[[null,null,null,null,null,3,null,null,5],[null,null,9,7,null,null,null,null,8],[7,null,null,1,null,null,null,3,null],[null,null,null,5,null,null,null,null,4],[3,null,null,null,8,null,null,null,null],[1,7,null,null,null,6,8,null,null],[null,4,null,null,9,null,null,null,null],[null,null,null,8,null,null,4,1,null],[null,null,null,null,null,null,null,2,9]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[2,4,3,6,9,1,5,8,7],[5,9,6,8,7,2,4,1,3],[8,1,7,3,5,4,6,2,9]]"
109,"[[null,null,1,9,null,3,null,7,null],[null,3,null,null,null,5,null,4,8],[7,null,null,1,null,null,null,null,null],[9,null,null,null,null,null,3,null,null],[null,null,null,2,8,null,null,null,null],[null,null,null,null,null,6,null,null,2],[null,null,7,null,null,1,6,8,9],[5,null,null,null,null,null,null,1,null],[8,null,null,null,null,null,null,null,null]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[2,4,7,3,5,1,6,8,9],[5,9,6,8,7,2,4,1,3],[8,1,3,6,9,4,5,2,7]]"
110,"[[4,null,1,null,null,null,null,7,null],[6,3,null,null,2,null,1,null,8],[null,5,null,null,4,null,null,null,null],[null,null,8,5,null,null,3,null,null],[null,null,null,null,null,null,7,null,null],[null,null,null,null,null,6,null,null,null],[null,4,7,null,null,null,null,8,9],[null,null,null,6,null,null,5,null,null],[5,null,null,null,null,2,null,null,3]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[2,4,7,3,5,1,6,8,9],[8,1,3,6,9,4,5,2,7],[5,9,6,8,7,2,4,1,3]]"
111,"[[null,null,null,null,6,null,null,null,5],[6,null,9,null,null,null,1,null,null],[null,5,null,1,null,null,null,null,null],[null,2,null,null,null,7,3,6,null],[null,null,4,null,8,9,null,null,null],[null,null,null,4,null,null,null,null,null],[null,null,7,null,null,null,5,8,3],[null,1,null,null,7,4,null,null,9],[null,null,null,null,null,2,null,null,null]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[2,4,7,6,9,1,5,8,3],[5,1,3,8,7,4,6,2,9],[8,9,6,3,5,2,4,1,7]]"
112,"[[null,null,1,null,null,3,null,7,null],[null,3,null,null,null,5,null,null,null],[null,5,null,1,4,null,null,null,null],[9,null,null,null,null,7,null,null,null],[null,null,4,null,null,null,null,5,1],[null,7,null,null,null,null,8,null,null],[null,4,7,6,null,null,5,8,null],[8,null,6,null,null,null,null,1,null],[null,null,null,null,7,null,null,2,9]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[2,4,7,6,9,1,5,8,3],[8,9,6,3,5,2,4,1,7],[5,1,3,8,7,4,6,2,9]]"
113,"[[null,null,null,9,null,null,2,null,null],[null,null,9,null,null,5,null,4,null],[null,5,null,null,null,null,null,null,6],[null,2,null,5,1,null,3,null,null],[null,6,null,null,8,null,7,null,null],[1,null,null,null,null,6,8,null,2],[2,null,null,null,null,null,null,null,7],[null,9,null,6,null,2,null,null,null],[null,1,null,8,null,4,null,null,null]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[2,4,6,3,9,1,5,8,7],[8,9,7,6,5,2,4,1,3],[5,1,3,8,7,4,6,2,9]]"
114,"[[null,8,null,null,null,null,null,null,5],[null,null,null,7,2,null,null,4,null],[null,null,null,null,4,null,9,3,null],[null,null,8,null,null,null,null,null,null],[3,6,4,null,null,null,null,null,null],[1,null,null,null,null,6,8,null,2],[2,null,6,null,null,1,5,null,null],[5,null,null,8,null,null,null,null,9],[null,null,null,null,null,2,4,null,null]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[2,4,6,3,9,1,5,8,7],[5,1,3,8,7,4,6,2,9],[8,9,7,6,5,2,4,1,3]]"
115,"[[null,null,null,null,null,3,null,null,null],[null,null,9,null,2,5,1,null,null],[null,5,null,null,4,null,9,3,null],[9,null,null,null,1,null,null,null,null],[null,6,null,null,8,null,7,null,1],[1,null,null,null,null,null,8,null,2],[null,null,6,null,null,null,null,null,null],[8,null,null,6,5,null,null,null,7],[null,null,null,8,9,4,null,null,null]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[2,4,6,3,7,1,5,8,9],[8,9,3,6,5,2,4,1,7],[5,1,7,8,9,4,6,2,3]]"
116,"[[null,null,1,null,null,3,null,null,null],[6,null,null,7,null,null,null,null,8],[null,null,null,null,null,null,null,null,6],[null,2,null,5,null,null,null,null,null],[3,null,null,null,8,null,7,null,1],[1,null,null,null,null,6,null,null,2],[null,null,6,null,null,1,null,8,9],[null,9,null,null,5,null,4,null,null],[null,null,null,8,9,null,null,null,7]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[2,4,6,3,7,1,5,8,9],[8,9,7,6,5,2,4,1,3],[5,1,3,8,9,4,6,2,7]]"
117,"[[null,8,null,null,null,null,null,7,null],[6,null,null,null,null,5,1,4,null],[null,null,null,1,null,null,null,null,null],[null,2,null,null,null,7,null,6,null],[null,6,null,null,8,null,null,null,null],[1,null,null,null,3,null,null,null,2],[null,null,null,3,7,1,null,null,null],[5,null,7,null,null,4,null,null,null],[null,9,null,6,null,null,null,null,null]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[2,4,6,3,7,1,5,8,9],[5,1,7,8,9,4,6,2,3],[8,9,3,6,5,2,4,1,7]]"
118,"[[null,null,null,null,null,3,null,7,5],[null,3,9,null,2,null,null,null,null],[null,null,2,null,4,8,null,null,null],[null,2,8,null,null,7,3,null,null],[null,null,null,null,null,null,null,null,1],[null,7,5,null,null,null,null,null,null],[null,null,6,3,null,null,null,null,9],[null,1,null,null,null,null,null,null,null],[null,null,7,6,null,2,null,1,null]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[2,4,6,3,7,1,5,8,9],[5,1,3,8,9,4,6,2,7],[8,9,7,6,5,2,4,1,3]]"
119,"[[null,null,1,null,6,3,2,null,null],[null,null,9,null,null,5,null,null,null],[null,5,null,1,null,null,null,null,null],[null,null,8,null,1,null,3,null,null],[3,6,null,null,null,9,null,null,null],[null,null,null,null,null,null,8,null,null],[null,9,6,8,7,4,null,1,null],[null,1,null,null,null,null,null,null,7],[null,4,null,null,null,null,null,null,9]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[2,9,6,8,7,4,5,1,3],[5,1,3,6,9,2,4,8,7],[8,4,7,3,5,1,6,2,9]]"
120,"[[4,null,null,null,null,3,2,null,null],[null,null,null,7,null,5,1,null,null],[7,null,null,null,null,null,null,3,6],[null,2,null,null,1,null,null,null,null],[null,6,null,null,null,null,7,5,null],[null,null,5,null,null,null,8,null,null],[null,null,null,null,null,4,null,1,3],[null,null,7,null,null,null,6,null,9],[null,null,null,null,9,null,null,null,null]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[2,9,6,8,7,4,5,1,3],[8,4,7,3,5,1,6,2,9],[5,1,3,6,9,2,4,8,7]]"
121,"[[null,null,1,9,null,null,2,null,null],[null,3,null,7,2,null,null,null,8],[7,null,2,null,null,null,null,null,6],[9,null,null,5,null,null,null,null,null],[null,null,null,null,null,null,null,null,1],[null,null,null,null,null,6,8,null,2],[null,null,null,null,null,1,4,8,null],[null,null,null,null,7,null,6,null,9],[null,null,null,6,null,4,null,null,null]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[2,9,6,3,5,1,4,8,7],[5,4,3,8,7,2,6,1,9],[8,1,7,6,9,4,5,2,3]]"
122,"[[null,null,null,null,6,3,null,null,5],[6,null,9,null,null,null,1,4,null],[7,null,2,null,null,null,null,null,null],[null,null,null,null,1,7,null,6,null],[null,null,4,null,null,9,null,null,null],[null,null,null,null,null,null,null,9,null],[2,9,6,null,5,null,null,null,null],[null,null,null,8,null,null,null,null,null],[8,null,null,null,7,4,5,null,null]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[2,9,6,3,5,1,4,8,7],[5,4,7,8,9,2,6,1,3],[8,1,3,6,7,4,5,2,9]]"
123,"[[4,null,null,9,null,3,null,7,null],[null,null,9,null,2,null,null,null,null],[7,5,null,null,null,null,null,3,null],[null,2,8,5,null,null,null,null,null],[3,null,null,2,null,null,null,null,null],[1,null,null,null,null,6,8,null,null],[null,null,null,3,null,null,4,null,null],[null,null,null,null,9,null,6,null,null],[null,null,null,6,null,2,5,null,9]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[2,9,6,3,5,1,4,8,7],[5,1,7,8,9,4,6,2,3],[8,4,3,6,7,2,5,1,9]]"
124,"[[null,null,null,9,6,null,null,null,null],[null,null,null,null,null,5,null,null,8],[null,null,2,null,null,8,null,null,6],[null,2,null,5,1,null,null,null,4],[3,6,null,2,8,null,null,null,1],[null,null,null,null,null,6,null,null,null],[null,null,null,3,null,null,null,null,null],[5,null,3,null,null,null,null,2,null],[8,4,null,null,9,null,5,null,null]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[2,9,6,3,5,1,4,8,7],[5,1,3,8,7,4,6,2,9],[8,4,7,6,9,2,5,1,3]]"
125,"[[null,null,null,9,null,null,null,null,null],[null,3,null,null,null,null,1,4,null],[null,5,null,null,4,null,null,3,null],[9,2,null,null,1,7,null,null,null],[null,null,4,null,8,null,null,5,null],[null,null,5,null,null,6,null,null,null],[null,null,6,3,5,null,null,null,null],[8,null,7,null,null,null,null,1,null],[null,null,null,null,null,null,null,null,9]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[2,9,6,3,5,1,4,8,7],[8,4,7,6,9,2,5,1,3],[5,1,3,8,7,4,6,2,9]]"
126,"[[null,null,1,9,null,null,null,null,5],[6,3,null,null,null,null,null,null,8],[null,null,null,1,4,null,null,null,6],[9,null,8,null,null,7,null,null,null],[3,null,null,2,null,9,null,null,null],[1,null,null,null,3,null,null,null,2],[null,null,null,3,null,null,null,null,null],[null,4,null,null,null,null,5,1,null],[null,null,7,null,null,4,null,2,null]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[2,9,6,3,5,1,4,8,7],[8,4,3,6,7,2,5,1,9],[5,1,7,8,9,4,6,2,3]]"
127,"[[null,null,1,null,6,3,2,null,null],[null,3,null,null,null,5,1,null,null],[null,null,2,null,null,null,9,null,6],[null,2,null,null,1,7,null,6,4],[null,6,null,2,null,null,null,null,null],[null,7,null,null,null,null,8,null,null],[null,null,null,3,5,null,null,null,null],[8,null,null,null,null,4,null,null,9],[null,null,null,8,null,null,6,null,null]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[2,9,6,3,5,1,4,8,7],[8,1,3,6,7,4,5,2,9],[5,4,7,8,9,2,6,1,3]]"
128,"[[4,8,null,9,null,null,null,null,null],[null,3,9,null,2,5,1,4,null],[null,null,null,1,null,null,9,null,null],[null,2,8,null,1,null,3,null,null],[null,null,null,null,8,null,null,5,null],[null,7,null,null,null,6,null,9,null],[null,null,null,3,null,null,4,null,null],[null,null,null,null,9,null,null,2,null],[5,4,null,null,null,null,null,null,null]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[2,9,6,3,5,1,4,8,7],[8,1,7,6,9,4,5,2,3],[5,4,3,8,7,2,6,1,9]]"
129,"[[null,8,1,null,6,null,null,null,null],[null,3,null,7,2,null,null,null,null],[null,null,null,null,null,null,null,3,null],[null,null,null,5,1,null,null,6,null],[null,null,null,null,null,9,null,null,null],[null,7,null,4,null,null,8,9,null],[null,9,null,null,null,null,null,null,7],[null,null,null,3,7,2,4,8,null],[null,null,null,null,null,null,null,2,null]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[2,9,3,8,5,4,6,1,7],[5,1,6,3,7,2,4,8,9],[8,4,7,6,9,1,5,2,3]]"
130,"[[4,null,null,null,6,null,null,7,null],[null,3,9,null,null,null,null,null,null],[null,null,null,1,null,8,null,null,null],[null,null,8,5,1,null,3,null,null],[3,null,4,null,null,null,null,null,null],[null,7,5,null,null,null,null,null,2],[2,9,3,null,null,4,6,1,null],[null,null,null,null,null,null,4,8,null],[null,null,null,3,null,null,null,null,null]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[2,9,3,8,5,4,6,1,7],[5,1,7,6,9,2,4,8,3],[8,4,6,3,7,1,5,2,9]]"
131,"[[null,8,null,null,null,null,2,null,5],[null,null,null,7,null,null,1,null,null],[7,null,null,1,4,null,null,null,6],[null,null,8,5,null,null,null,null,null],[3,null,null,null,null,null,null,null,null],[null,null,null,null,3,6,null,9,2],[null,9,null,null,null,null,null,null,null],[8,4,null,6,null,null,null,null,3],[5,null,null,null,7,2,null,null,null]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[2,9,3,8,5,4,6,1,7],[8,4,7,6,9,1,5,2,3],[5,1,6,3,7,2,4,8,9]]"
132,"[[4,8,1,null,6,null,null,null,null],[null,null,null,7,null,null,null,4,null],[null,null,null,1,null,null,null,null,6],[null,null,null,null,null,null,3,6,null],[3,6,4,2,8,null,null,null,1],[null,null,null,4,null,null,null,9,null],[2,null,3,null,null,null,null,null,null],[8,null,null,null,7,null,5,null,null],[5,null,null,null,null,2,null,8,null]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[2,9,3,8,5,4,6,1,7],[8,4,6,3,7,1,5,2,9],[5,1,7,6,9,2,4,8,3]]"
133,"[[null,null,null,9,null,3,null,null,null],[null,null,null,null,2,null,null,4,null],[null,5,2,null,null,null,null,3,null],[null,null,8,5,null,null,null,null,null],[null,6,null,null,null,9,null,5,null],[null,7,null,4,3,6,null,9,null],[2,null,3,null,null,1,null,null,7],[null,null,6,null,null,4,5,null,null],[null,null,null,null,null,null,null,null,null]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[2,9,3,6,5,1,4,8,7],[8,1,6,3,7,4,5,2,9],[5,4,7,8,9,2,6,1,3]]"
134,"[[4,null,null,null,6,null,null,null,null],[null,null,null,null,null,5,1,null,8],[null,null,2,null,4,null,9,null,null],[null,2,8,5,1,null,null,null,null],[null,6,null,null,null,null,7,null,null],[null,7,null,null,null,null,null,null,2],[null,null,3,6,5,null,null,8,null],[null,null,null,3,null,null,null,null,null],[5,1,null,null,null,null,null,2,3]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[2,9,3,6,5,1,4,8,7],[8,4,6,3,7,2,5,1,9],[5,1,7,8,9,4,6,2,3]]"
135,"[[null,null,null,null,null,3,2,null,null],[null,null,null,7,null,null,1,4,null],[7,null,null,null,null,8,null,null,6],[9,null,8,null,null,null,null,null,null],[3,null,null,null,null,null,7,5,null],[null,null,null,4,null,null,8,null,null],[null,null,3,null,5,null,null,null,null],[null,1,null,null,9,null,6,null,null],[null,4,null,null,null,2,null,null,9]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[2,9,3,6,5,1,4,8,7],[5,1,7,8,9,4,6,2,3],[8,4,6,3,7,2,5,1,9]]"
136,"[[4,null,null,9,6,null,2,null,null],[null,3,null,7,null,null,null,null,null],[null,5,null,null,null,8,9,3,null],[null,null,null,5,1,null,null,null,null],[null,null,null,null,null,9,null,null,null],[null,null,null,null,null,6,8,null,2],[2,null,3,6,null,null,null,8,null],[null,4,7,null,null,null,null,1,null],[8,null,null,null,7,4,null,null,null]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[2,9,3,6,5,1,4,8,7],[5,4,7,8,9,2,6,1,3],[8,1,6,3,7,4,5,2,9]]"
137,"[[null,null,null,null,6,3,null,null,null],[6,null,null,null,null,null,null,4,null],[null,5,null,null,null,8,9,null,6],[null,null,null,5,null,null,null,null,null],[3,null,4,null,null,9,null,5,null],[null,null,null,null,null,6,8,null,2],[2,null,null,null,null,null,null,null,null],[null,4,null,null,7,1,null,null,null],[5,null,3,null,null,2,null,8,7]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[2,9,7,8,5,4,6,1,3],[8,4,6,3,7,1,5,2,9],[5,1,3,6,9,2,4,8,7]]"
138,"[[4,null,null,9,null,null,null,7,null],[6,null,null,null,null,5,null,4,null],[null,5,2,null,null,null,null,null,null],[9,null,null,null,null,7,null,null,4],[null,null,null,2,8,null,null,5,1],[1,null,null,null,3,null,null,9,null],[null,null,null,null,5,null,null,1,3],[null,null,6,null,null,1,null,null,null],[null,null,null,6,null,null,null,null,9]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[2,9,7,8,5,4,6,1,3],[8,4,6,3,9,1,5,2,7],[5,1,3,6,7,2,4,8,9]]"
139,"[[null,8,1,9,6,3,null,7,null],[null,3,null,null,null,null,null,null,null],[7,null,null,null,null,null,9,null,null],[null,2,null,null,null,7,null,null,null],[3,6,null,null,8,null,null,null,1],[null,null,5,null,null,null,null,null,null],[null,null,null,8,5,null,6,null,3],[null,null,null,6,null,null,5,null,null],[null,1,null,null,null,null,null,null,9]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[2,9,7,8,5,4,6,1,3],[8,4,3,6,9,1,5,2,7],[5,1,6,3,7,2,4,8,9]]"
140,"[[null,null,null,9,null,null,null,null,null],[6,null,null,null,null,5,1,null,8],[7,5,null,null,4,8,null,null,null],[null,2,null,null,null,null,null,null,null],[null,null,null,null,8,null,7,null,1],[1,7,null,4,3,null,null,null,2],[null,null,null,null,null,null,6,null,null],[null,4,3,null,null,1,5,2,null],[null,null,null,3,9,null,null,null,null]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[2,9,7,8,5,4,6,1,3],[8,4,3,6,7,1,5,2,9],[5,1,6,3,9,2,4,8,7]]"
